Wavelengt [nm],s1.2,s2.2,s3.2,s4.2
359.2,8.701328396927801e-23,6.164582893028592e-23,5.637340699672976e-23,7.127704473982269e-23
359.4,8.690546081689972e-23,6.174541831466442e-23,5.55737842024499e-23,7.358873267733045e-23
359.6,8.706719554546715e-23,6.064993508650102e-23,5.67732183938697e-23,6.896535680231493e-23
359.8,8.636634505500828e-23,6.055034570212252e-23,5.577368990101987e-23,6.74242315106431e-23
360.0,8.588114086930599e-23,6.064993508650102e-23,5.537387850387994e-23,6.973591944815086e-23
360.2,8.571940614073856e-23,5.955445185833761e-23,5.597359559958984e-23,6.703895018772513e-23
360.4,8.518029037884712e-23,5.915609432082365e-23,5.657331269529972e-23,6.703895018772513e-23
360.6,8.469508619314482e-23,5.835937924579572e-23,5.657331269529972e-23,6.703895018772513e-23
360.8,8.383250097411853e-23,5.74630747863893e-23,5.577368990101987e-23,6.626838754188921e-23
361.0,8.302382733128137e-23,5.686553848011836e-23,5.457425570960009e-23,6.588310621897126e-23
361.2,8.221515368844421e-23,5.63675915582259e-23,5.317491581961034e-23,6.395669960438145e-23
361.4,8.162212635036364e-23,5.577005525195496e-23,5.317491581961034e-23,6.241557431270961e-23
361.6,8.092127585990477e-23,5.457498263941307e-23,5.377463291532023e-23,6.241557431270961e-23
361.8,7.989695591231104e-23,5.407703571752061e-23,5.317491581961034e-23,6.43419809272994e-23
362.0,7.898045911709559e-23,5.387785694876363e-23,5.257519872390045e-23,6.43419809272994e-23
362.2,7.8010050745691e-23,5.2682784336221735e-23,5.1975481628190553e-23,6.04891676981198e-23
362.4,7.720137710285384e-23,5.208524802995079e-23,5.1175858833910703e-23,6.087444902103777e-23
362.6,7.623096873144926e-23,5.118894357054437e-23,5.037623603963085e-23,6.087444902103777e-23
362.8,7.482926775053153e-23,5.0491817879894937e-23,4.7977367656791286e-23,5.971860505228388e-23
363.0,7.369712465055949e-23,4.9695102804867004e-23,4.737765056108139e-23,5.933332372936592e-23
363.2,7.288845100772234e-23,4.859961957670361e-23,4.717774486251143e-23,5.894804240644796e-23
363.4,7.186413106012862e-23,4.800208327043266e-23,4.6977839163941463e-23,5.779219843769408e-23
363.6,7.089372268872403e-23,4.7205368195404727e-23,4.6378122068231574e-23,5.663635446894019e-23
363.8,6.98694027411303e-23,4.620947435161982e-23,4.517868787681179e-23,5.625107314602224e-23
364.0,6.835987860783427e-23,4.501440173907793e-23,4.437906508253194e-23,5.548051050018632e-23
364.2,6.690426605072739e-23,4.4416865432806983e-23,4.257991379540226e-23,5.432466653143243e-23
364.4,6.571821137456623e-23,4.2923024667129614e-23,4.1380479603982484e-23,5.2783541239760595e-23
364.6,6.523300718886393e-23,4.152877328583074e-23,4.218010239826234e-23,4.854544668766303e-23
364.8,6.399304093651363e-23,4.1927130823344706e-23,4.218010239826234e-23,4.931600933349895e-23
365.0,6.162093158419131e-23,4.063246882642433e-23,3.9381422618282844e-23,5.124241594808875e-23
365.2,6.005749587470613e-23,3.854109175447601e-23,3.758227133115317e-23,4.7774884041827103e-23
365.4,5.860188331759925e-23,3.7246429757555636e-23,3.6782648536873316e-23,4.816016536474507e-23
365.6,5.687671287954665e-23,3.585217837625675e-23,3.57831200440235e-23,4.8930728010580985e-23
365.8,5.52054540176832e-23,3.485628453247185e-23,3.538330864688357e-23,4.661904007307322e-23
366.0,5.331854885106317e-23,3.3760801304308445e-23,3.378406305832386e-23,4.5077914781401386e-23
366.2,5.1809024717767145e-23,3.2565728691766554e-23,3.338425166118393e-23,4.469263345848342e-23
366.4,4.9922119551147114e-23,3.1470245463603155e-23,3.2384723168334115e-23,4.3922070812647505e-23
366.6,4.776565650358136e-23,2.9777225929168805e-23,3.078547757977441e-23,4.1225101552221775e-23
366.8,4.604048606552876e-23,2.808420639473446e-23,2.9586043388354625e-23,4.045453890638586e-23
367.0,4.442313877985445e-23,2.7486670088463515e-23,2.9586043388354625e-23,4.2380945520975657e-23
367.2,4.264405676561271e-23,2.64907762446786e-23,2.878642059407477e-23,4.0839820229303815e-23
367.4,4.124235578469497e-23,2.489734609462275e-23,2.858651489550481e-23,3.775756964596013e-23
367.6,3.951718534664237e-23,2.410063101959482e-23,2.798679779979492e-23,3.737228832304217e-23
367.8,3.806157278953548e-23,2.400104163521633e-23,2.718717500551506e-23,3.9683976260549934e-23
368.0,3.644422550386117e-23,2.2905558407052927e-23,2.5987740814095277e-23,3.891341361471401e-23
368.2,3.493470137056515e-23,2.1909664563268016e-23,2.4988212321245463e-23,3.583116303137033e-23
368.4,3.358691196583656e-23,2.1511307025754056e-23,2.5188118019815424e-23,3.621644435428829e-23
368.6,3.2454768865864536e-23,2.0714591950726126e-23,2.5587929416955352e-23,3.506060038553441e-23
368.8,3.1106979461135944e-23,2.0316234413212165e-23,2.3189061034115787e-23,3.544588170845237e-23
