wavelength;s2.3-s1.3;s4.3-s3.3
832,1;-2,00E-04;0,0017
832;-0,0002;0,0018
831,9;-7,00E-04;0,0015
831,8;-0,0006;0,0018
831,7;-7,00E-04;0,002
831,6;-0,0009;0,002
831,5;-4,00E-04;0,0022
831,4;-0,0002;0,002
831,3;-4,00E-04;0,0017
831,2;-0,0004;0,0011
831,1;-6,00E-04;0,001
831;-0,001;0,001
830,9;-1,10E-03;0,0009
830,8;-0,0009;0,0011
830,7;-9,00E-04;0,001
830,6;-0,0007;0,0011
830,5;-7,00E-04;0,0011
830,4;-0,0006;0,0011
830,3;-7,00E-04;0,0013
830,2;-0,0005;0,0012
830,1;-5,00E-04;0,0012
830;-0,0008;0,0012
829,9;-1,00E-03;0,001
829,8;-0,0013;0,0009
829,7;-9,00E-04;0,001
829,6;-0,0009;0,0009
829,5;-8,00E-04;0,0013
829,4;-0,0009;0,0014
829,3;-1,10E-03;0,0013
829,2;-0,0009;0,0013
829,1;-7,00E-04;0,0011
829;-0,0005;0,0011
828,9;-4,00E-04;0,0012
828,8;-0,0004;0,0014
828,7;-3,00E-04;0,0013
828,6;-0,0005;0,0011
828,5;-7,00E-04;0,0012
828,4;-0,0008;0,0011
828,3;-7,00E-04;0,0013
828,2;-0,0009;0,0012
828,1;-8,00E-04;0,0011
828;-0,001;0,001
827,9;-1,20E-03;0,0006
827,8;-0,0009;0,0007
827,7;-1,10E-03;0,0007
827,6;-0,0009;0,001
827,5;-5,00E-04;0,0014
827,4;-0,0003;0,0017
827,3;-3,00E-04;0,0019
827,2;-0,0003;0,0017
827,1;-5,00E-04;0,0015
827;-0,0006;0,0012
826,9;-8,00E-04;0,001
826,8;-0,0007;0,0011
826,7;-8,00E-04;0,001
826,6;-0,001;0,001
826,5;-7,00E-04;0,0014
826,4;-0,0012;0,0011
826,3;-1,00E-03;0,0014
826,2;-0,0009;0,0014
826,1;-8,00E-04;0,0014
826;-0,0008;0,0011
825,9;-9,00E-04;0,0009
825,8;-0,0009;0,0009
