,wavelength,s1.3,s2.3,s3.3,s4.3,s5.3,s6.3
98,209.8,1.6113539136932562,1.594598602763492,2.8496219589436182,2.9052904880018464,102.57270967741937,88.08935294117647
99,209.9,1.6095669437698485,1.5947212311791314,2.8604783011932366,2.9049480041532076,105.97761290322582,88.67144117647058
100,210.0,1.6080264524565662,1.5979708841935683,2.8724538539840525,2.9026647784956165,103.84954838709679,86.14905882352942
101,210.1,1.606732439753409,1.5990745399343207,2.8778260645818015,2.8829148765574533,103.42393548387098,86.14905882352942
102,210.2,1.6130176443116009,1.5940467748931162,2.8595829327602784,2.8904495212275036,99.38061290322581,86.73114705882352
103,210.3,1.6184401737343546,1.5962540863746206,2.8645074591415485,2.892161940470697,98.1037741935484,85.9550294117647
104,210.4,1.6174542592938537,1.593801518061838,2.8643955380874284,2.911797681125981,100.44464516129032,85.9550294117647
105,210.5,1.6133873622267887,1.5919007776194312,2.871446564496974,2.916706616289802,100.87025806451614,83.82070588235294
106,210.6,1.6099982813375675,1.593924146477477,2.894502301645648,2.9203597773419476,101.50867741935485,83.82070588235294
107,210.7,1.6144965159723517,1.5900613513848443,2.896628801673924,2.928579389709276,101.08306451612904,83.82070588235294
108,210.8,1.6278679805716418,1.60054608092199,2.8952857490244868,2.9252687125057686,100.44464516129032,86.14905882352942
109,210.9,1.6413010648234634,1.6081490426916165,2.8988672227563197,2.93520074411629,97.67816129032259,87.11920588235294
110,211.0,1.6404383896880252,1.6155067476299645,2.8983076174857207,2.9405663244116296,95.76290322580645,84.01473529411764
111,211.1,1.635508817485522,1.619308228514778,2.8995387490810383,2.9358857118135675,94.27325806451614,83.04458823529411
112,211.2,1.6340299458247711,1.6136673213953778,2.8987553017021996,2.9367990020766035,93.20922580645161,77.99982352941176
113,211.3,1.6326743134690826,1.6126862940702644,2.8983076174857207,2.9412512921089067,94.69887096774194,76.83564705882354
114,211.4,1.639329235942462,1.6186337722287625,2.8978599332692414,2.9347440989847717,97.46535483870969,77.02967647058823
