wavelength;s1.4;s2.4;s3.4;s4.4;s5.4;s6.4;s7.4
231,3;1,2956;0,8005;0,6631;0,5759;0,5626;0,4607;0,4477
231,4;1,2639;0,7817;0,648;0,5625;0,5503;0,4492;0,4366
231,5;1,2325;0,7624;0,632;0,5484;0,5363;0,4377;0,4258
231,6;1,2024;0,7439;0,6156;0,5342;0,5231;0,4252;0,4152
231,7;1,1744;0,7262;0,6007;0,5226;0,5114;0,4146;0,4057
231,8;1,1448;0,7084;0,5855;0,5089;0,4986;0,4029;0,3961
231,9;1,1167;0,6909;0,5714;0,4962;0,4872;0,3923;0,3857
232;1,0907;0,6738;0,5582;0,4848;0,4764;0,3825;0,3765
232,1;1,0621;0,657;0,5437;0,4711;0,4636;0,3731;0,3661
232,2;1,0359;0,6405;0,5309;0,4592;0,4519;0,3643;0,3572
232,3;1,0096;0,6245;0,5177;0,447;0,4405;0,3552;0,3482
232,4;0,9841;0,6081;0,5044;0,4346;0,4288;0,3454;0,3386
232,5;0,9609;0,5933;0,4926;0,4248;0,4194;0,3367;0,3315
232,6;0,9382;0,5782;0,4809;0,4143;0,4097;0,3281;0,3228
232,7;0,9143;0,5633;0,4686;0,403;0,3994;0,3191;0,3149
232,8;0,893;0,5494;0,4577;0,3924;0,3894;0,3116;0,3073
232,9;0,8718;0,5355;0,4465;0,3815;0,3795;0,3038;0,2995
233;0,8513;0,5227;0,4356;0,3708;0,3701;0,2962;0,2931
233,1;0,833;0,5109;0,426;0,3626;0,3623;0,2896;0,2874
233,2;0,812;0,4989;0,4156;0,3535;0,3534;0,2829;0,2804
233,3;0,7928;0,488;0,4057;0,3455;0,3461;0,2756;0,2737
233,4;0,7727;0,4758;0,3957;0,3366;0,3377;0,268;0,2671
233,5;0,7522;0,4639;0,385;0,3275;0,3298;0,2602;0,2603
233,6;0,7343;0,4528;0,3762;0,3187;0,3236;0,2532;0,2551
233,7;0,716;0,4416;0,3674;0,3109;0,3163;0,2475;0,2494
233,8;0,6981;0,4303;0,359;0,3029;0,3091;0,2417;0,2431
233,9;0,6809;0,4208;0,3508;0,2951;0,3014;0,2361;0,2366
234;0,6648;0,411;0,3433;0,289;0,2947;0,231;0,2317
