X MnCl+;Y MnCl+;X MnCl2;Y MnCl2;X MnCl3-;Y MnCl3-;X MnClH2O;Y MnClH2O;X MnCl2aq;Y MnCl2aq;X MnH2O;Y MnH2O
177,44;3547,253944;181,84;1404,540167;184,96;20808,1782;;;181,2;20494,5373;151,2;3715,209078
177,68;3752,085621;181,98;1607,332113;185,12;20591,8326;;;181,4;21064,35681;151,4;3502,072114
177,92;3922,953203;182,12;1832,256289;185,28;20304,88719;;;181,6;21601,08234;151,6;3336,26018
178,16;4054,683828;182,26;2080,595366;185,44;19953,08649;;;181,8;22104,85522;151,8;3204,813121
178,4;4143,318023;182,4;2353,540839;185,6;19542,97344;;;182;22576,38359;152;3096,801044
178,64;4186,311825;182,54;2652,166031;185,76;19081,75818;;;182,2;23016,72492;152,2;3003,288969
178,88;4182,660604;182,68;2977,398442;185,92;18577,17796;;;182,4;23427,05906;152,4;2917,164948
179,12;4132,936275;182,82;3329,992008;186,08;18037,352;;;182,6;23808,46676;152,6;2832,901366
179,36;4039,236315;182,96;3710,499888;186,24;17470,63495;;;182,8;24161,72873;152,8;2746,305967
179,6;3905,049859;183,1;4119,248438;186,4;16885,47234;;;183;24487,15904;153;2654,301372
179,84;3735,052296;183,24;4556,313042;186,56;16290,26112;;;183,2;24784,48477;153,2;2554,753092
180,08;3534,844748;183,38;5021,496499;186,72;15693,21795;;;183,4;25052,78137;153,4;2446,34919
180,32;3310,658156;183,52;5514,31063;186,88;15102,25745;;;183,6;25290,46956;153,6;2328,522071
180,56;3069,043146;183,66;6033,961734;187,04;14524,88211;;;183,8;25495,37594;153,8;2201,395364
180,8;2816,56646;183,8;6579,340478;187,2;13968,08515;;;184;25664,85514;154;2065,736649
181,04;2559,532632;183,94;7149,016691;187,36;13438,26699;;;184,2;25795,9674;154,2;1922,899097
181,28;2303,746136;184,08;7741,239467;187,52;12941,16572;;;184,4;25885,7014;154,4;1774,740518
181,52;2054,324846;184,22;8353,942841;187,68;12481,80159;;;184,6;25931,22857;154,6;1623,51535
181,76;1815,57091;184,36;8984,75716;187,84;12064,43509;;;184,8;25930,17287;154,8;1471,742063
182;1590,900366;184,5;9631,026148;188;11692,53802;;;185;25880,87808;155;1322,05418
182,24;1382,828618;184,64;10289,8295;188,16;11368,77694;;;185,2;25782,65416;155,2;1177,046717
182,48;1193,005454;184,78;10958,01069;188,32;11095,008;;;185,4;25635,98519;155,4;1039,131092
