X MnCl+;Y MnCl+;X MnCl2;Y MnCl2;X MnCl3-;Y MnCl3-;X MnClH2O;Y MnClH2O;X MnCl2aq;Y MnCl2aq;X MnH2O;Y MnH2O
253;178,0811327;237,68;810,9999036;211,2;335,2890295;195,32;7773,638533;197,08;7972,015528;152,96;6041,352699
253,5;157,0769918;237,96;809,4994342;211,4;336,2944833;195,54;7763,738169;197,26;7750,491918;153,12;5281,511711
254;138,9664594;238,24;803,8956648;211,6;343,9152648;195,76;7729,361807;197,44;7527,290904;153,28;4575,61046
254,5;123,5584935;238,52;794,2943141;211,8;358,5191422;195,98;7671,529838;197,62;7302,30877;153,44;3928,449957
255;110,5812853;238,8;780,8643592;212;380,4987;196,2;7592,05666;197,8;7075,535645;153,6;3342,639802
255,5;99,7153085;239,08;763,8320403;212,2;410,2698236;196,42;7493,45746;197,98;6847,066389;153,76;2818,83118
256;90,62374461;239,36;743,4737926;212,4;448,2687123;196,64;7378,829465;198,16;6617,108647;153,92;2355,997504
256,5;82,9789;239,64;720,1083162;212,6;494,9473309;196,86;7251,713722;198,34;6385,987862;154,08;1951,74105
257;76,48388759;239,92;694,0880237;212,8;550,7672521;197,08;7115,944154;198,52;6154,149125;154,24;1602,605847
257,5;70,88945065;240,2;665,7901266;213;616,1918869;197,3;6975,491001;198,7;5922,155827;154,4;1304,380096
258;66,00631398;240,48;635,6076229;213,2;691,6771509;197,52;6834,305714;198,88;5690,685181;154,56;1052,374927
258,5;61,71383359;240,76;603,9404437;213,4;777,6606607;197,74;6696,173993;199,06;5460,520762;154,72;841,6701102
259;57,96596636;241,04;571,1869994;213,6;874,5496141;197,96;6564,583016;199,24;5232,542283;154,88;667,3210302
259,5;54,79569397;241,32;537,7363374;213,8;982,7075509;198,18;6442,607892;199,42;5007,712894;155,04;524,5245754
260;52,31901343;241,6;503,9610934;214;1102,44025;198,4;6332,821256;199,6;4787,064354;155,2;408,7444147
260,5;50,7394613;241,88;470,2113756;214,2;1233,981057;198,62;6237,228593;199,78;4571,680444;155,36;315,7983289
261;50,35388159;242,16;436,8096841;214,4;1377,475995;198,84;6157,230536;199,96;4362,679028;155,52;241,9118114
261,5;51,55979678;242,44;404,0469219;214,6;1532,969015;199,06;6093,612004;200,14;4161,193193;155,68;183,7430851
262;54,86431684;242,72;372,1795161;214,8;1700,387812;199,28;6046,556793;200,32;3968,351874;155,84;138,3850698
262,5;60,894049;243;341,4276294;215;1879,530621;199,5;6015,685108;200,5;3785,260376;156;103,349782
263;70,4049812;243,28;311,9744067;215,2;2070,054417;199,72;6000,110599;200,68;3612,981202;156,16;76,54026164
263,5;84,2908429;243,56;283,9661753;215,4;2271,464944;199,94;5998,512756;200,86;3452,515528;156,32;56,2145165
264;103,5880405;243,84;257,5134948;215,6;2483,108989;200,16;6009,220116;201,04;3304,785676;156,48;40,94524082
264,5;129,4749695;244,12;232,6929343;215,8;2704,169253;200,38;6030,299556;201,22;3170,618871;156,64;29,57829795
265;163,2633682;244,4;209,549448;216;2933,662162;200,6;6059,647021;201,4;3050,732547;156,8;21,19220949
265,5;206,3794501;244,68;188,0992122;216,2;3170,438874;200,82;6095,075407;201,58;2945,721413;156,96;15,06021696
266;260,3328599;244,96;168,332793;216,4;3413,189697;201,04;6134,395795;201,76;2856,046448;157,12;10,61590135
266,5;326,6720768;245,24;150,2185141;216,6;3660,452009;201,26;6175,488959;201,94;2782,025974;157,28;7,42287235
267;406,9257244;245,52;133,7059092;216,8;3910,621743;201,48;6216,364835;202,12;2723,828893;157,44;5,148675022
267,5;502,5303221;245,8;118,7291529;217;4161,968351;201,7;6255,208503;202,3;2681,470147;157,6;3,542797345
268;614,7462604;246,08;105,2103793;217,2;4412,653102;201,92;6290,412071;202,48;2654,808438;157,76;2,418485659
268,5;744,5651233;246,36;93,06281445;217,4;4660,75046;202,14;6320,592669;202,66;2643,546188;157,92;1,637970916
269;892,6127947;246,64;82,19366506;217,6;4904,272196;202,36;6344,597467;202,84;2647,231713;158,08;1,100660682
269,5;1059,053945;246,92;72,50671916;217,8;5141,193811;202,58;6361,497257;203,02;2665,263555;158,24;0,733845248
270;1243,504356;247,2;63,90463366;218;5369,48277;202,8;6370,570563;203,2;2696,896866;158,4;0,485487984
270,5;1444,957997;247,48;56,29089428;218,2;5587,127974;203,02;6371,280576;203,38;2741,251761;158,56;0,318709251
271;1661,735684;247,76;49,57144692;218,4;5792,169884;203,24;6363,247348;203,56;2797,323483;158,72;0,207621474
271,5;1891,461501;248,04;43,65600927;218,6;5982,730622;203,46;6346,217643;203,74;2863,994254;158,88;0,134224109
272;2131,071924;248,32;38,45908017;218,8;6157,043439;203,68;6320,034741;203,92;2940,046621;159,04;0,086116958
272,5;2376,860797;248,6;33,90067017;219;6313,480873;203,9;6284,610184;204,1;3024,178123;159,2;0,054836025
273;2624,561101;248,88;29,90678163;219,2;6450,580993;204,12;6239,899126;204,28;3115,01708;159,36;0,034656252
273,5;2869,461954;249,16;26,40966938;219,4;6567,071167;204,34;6185,880522;204,46;3211,139276;159,52;0,021739761
274;3106,556756;249,44;23,3479142;219,6;6661,888811;204,56;6122,542946;204,64;3311,085312;159,68;0,013536446
274,5;3330,715953;249,72;20,66634167;219,8;6734,198709;204,78;6049,876389;204,82;3413,3784;159,84;0,008366628
