Wavelengt [nm],s1.1,s2.1,s3.1,s4.1,s5.1,s6.1,s7.1,s8.1
392.8,7.107902805990438e-23,1.1513816026905526e-22,2.2570732028539035e-22,2.120929531003931e-22,7.04752886389584e-22,1.899728232254093e-21,7.826206452048704e-22,2.096754898704749e-21
393.0,7.150894153607316e-23,1.1588763568170983e-22,2.2665170237863467e-22,2.136786948058166e-22,7.069102931846541e-22,1.8965219398789805e-21,7.854057720561333e-22,2.090181999335769e-21
393.2,7.203439134027944e-23,1.1691816437410982e-22,2.279738373091767e-22,2.136786948058166e-22,7.069102931846541e-22,1.890109355128756e-21,7.909760257586591e-22,2.0836090999667883e-21
393.4,7.260760930850448e-23,1.1794869306650985e-22,2.2948484865836763e-22,2.136786948058166e-22,7.0762942878301085e-22,1.8885062089411997e-21,7.826206452048704e-22,2.0836090999667883e-21
393.6,7.337189993280452e-23,1.1926027503865528e-22,2.3080698358890967e-22,2.168501782166636e-22,7.097868355780809e-22,1.901331378441649e-21,7.826206452048704e-22,2.096754898704749e-21
393.8,7.423172688514209e-23,1.2038448815763713e-22,2.3212911851945167e-22,2.1962522620115472e-22,7.097868355780809e-22,1.901331378441649e-21,7.854057720561333e-22,2.1164735968116905e-21
394.0,7.518709016551714e-23,1.2197712340952805e-22,2.340178827059403e-22,2.2160740333293407e-22,7.105059711764377e-22,1.898125086066537e-21,7.881908989073961e-22,2.1164735968116905e-21
394.2,7.580807629776093e-23,1.2338238980825533e-22,2.3534001763648235e-22,2.212109679065782e-22,7.119442423731512e-22,1.8949187936914244e-21,7.826206452048704e-22,2.090181999335769e-21
394.4,7.652459875804222e-23,1.246939717804008e-22,2.362843997297266e-22,2.224002741856458e-22,7.126633779715078e-22,1.8949187936914244e-21,7.798355183536076e-22,2.0770362005978085e-21
394.6,7.757549836645478e-23,1.2609923817912808e-22,2.377954110789176e-22,2.243824513174252e-22,7.155399203649347e-22,1.8965219398789805e-21,7.854057720561333e-22,2.090181999335769e-21
394.8,7.838755715477358e-23,1.2684871359178262e-22,2.377954110789176e-22,2.2557175759649285e-22,7.141016491682213e-22,1.8949187936914244e-21,7.881908989073961e-22,2.096754898704749e-21
395.0,7.910407961505489e-23,1.2703608244494626e-22,2.3685102898567327e-22,2.2596819302284875e-22,7.105059711764377e-22,1.890109355128756e-21,7.770503915023446e-22,2.090181999335769e-21
395.2,7.982060207533618e-23,1.27691873431019e-22,2.376065346602687e-22,2.263646284492046e-22,7.126633779715078e-22,1.891712501316312e-21,7.742652646510817e-22,2.090181999335769e-21
395.4,8.044158820757996e-23,1.2844134884367354e-22,2.38550916753513e-22,2.263646284492046e-22,7.133825135698646e-22,1.8949187936914244e-21,7.770503915023446e-22,2.1164735968116905e-21
395.6,8.106257433982375e-23,1.282539799905099e-22,2.3798428749756643e-22,2.263646284492046e-22,7.105059711764377e-22,1.8965219398789805e-21,7.659098840972931e-22,2.1164735968116905e-21
395.8,8.149248781599253e-23,1.2872240212341899e-22,2.38550916753513e-22,2.267610638755605e-22,7.112251067747944e-22,1.8933156475038682e-21,7.798355183536076e-22,2.0770362005978085e-21
396.0,8.20179376201988e-23,1.2881608655000082e-22,2.387397931721619e-22,2.263646284492046e-22,7.119442423731512e-22,1.885299916566087e-21,7.826206452048704e-22,2.0507446031218866e-21
396.2,8.244785109636759e-23,1.2909713982974628e-22,2.3798428749756643e-22,2.2596819302284875e-22,7.090676999797241e-22,1.882093624190975e-21,7.714801377998188e-22,2.0507446031218866e-21
396.4,8.302106906459263e-23,1.3012766852214627e-22,2.3817316391621527e-22,2.263646284492046e-22,7.083485643813675e-22,1.87568103944075e-21,7.742652646510817e-22,2.070463301228828e-21
396.6,8.359428703281765e-23,1.2975293081581902e-22,2.377954110789176e-22,2.267610638755605e-22,7.069102931846541e-22,1.8772841856283063e-21,7.68695010948556e-22,2.0638904018598473e-21
396.8,8.388089601693018e-23,1.2975293081581902e-22,2.377954110789176e-22,2.267610638755605e-22,7.061911575862973e-22,1.8804904780034186e-21,7.631247572460303e-22,2.070463301228828e-21
397.0,8.431080949309895e-23,1.3003398409556447e-22,2.3836204033486415e-22,2.2715749930191634e-22,7.090676999797241e-22,1.8804904780034186e-21,7.742652646510817e-22,2.0836090999667883e-21
397.2,8.483625929730524e-23,1.302213529487281e-22,2.3798428749756643e-22,2.28346805580984e-22,7.061911575862973e-22,1.882093624190975e-21,7.770503915023446e-22,2.090181999335769e-21
397.4,8.531394093749277e-23,1.30783459508219e-22,2.38550916753513e-22,2.2874324100733984e-22,7.061911575862973e-22,1.885299916566087e-21,7.714801377998188e-22,2.096754898704749e-21
397.6,8.574385441366154e-23,1.3115819721454628e-22,2.391175460094596e-22,2.291396764336957e-22,7.069102931846541e-22,1.883696770378531e-21,7.742652646510817e-22,2.090181999335769e-21
397.8,8.636484054590533e-23,1.317203037740372e-22,2.394952988467573e-22,2.299325472864075e-22,7.0762942878301085e-22,1.8804904780034186e-21,7.770503915023446e-22,2.1033277980737297e-21
398.0,8.684252218609286e-23,1.321887259069463e-22,2.3987305168405507e-22,2.295361118600516e-22,7.054720219879407e-22,1.874077893253194e-21,7.659098840972931e-22,2.090181999335769e-21
398.2,8.755904464637415e-23,1.327508324664372e-22,2.3987305168405507e-22,2.311218535654751e-22,7.040337507912272e-22,1.874077893253194e-21,7.547693766922415e-22,2.0770362005978085e-21
398.4,8.860994425478671e-23,1.3396873001200083e-22,2.4138406303324595e-22,2.3350046612361037e-22,7.083485643813675e-22,1.8804904780034186e-21,7.714801377998188e-22,2.090181999335769e-21
398.6,8.966084386319928e-23,1.3574873411705541e-22,2.4327282721973454e-22,2.354826432553897e-22,7.112251067747944e-22,1.882093624190975e-21,7.826206452048704e-22,2.0836090999667883e-21
398.8,9.07595116356306e-23,1.3696663166261904e-22,2.444060857316277e-22,2.358790786817456e-22,7.112251067747944e-22,1.8772841856283063e-21,7.798355183536076e-22,2.0836090999667883e-21
399.0,9.214478839217443e-23,1.3874663576767362e-22,2.461059734994675e-22,2.3825769123988085e-22,7.112251067747944e-22,1.874077893253194e-21,7.770503915023446e-22,2.0770362005978085e-21
399.2,9.386444229684955e-23,1.410887464322191e-22,2.487502433605516e-22,2.4142917465072783e-22,7.141016491682213e-22,1.8788873318158624e-21,7.826206452048704e-22,2.090181999335769e-21
