X MnH2O;Y MnH2O;X MnCl+;Y MnCl+;X MnCl2;Y MnCl2;X MnCl3-;Y MnCl3-
176,22;2,58E-07;310,7;820,717829;260,4;653,6286961;236,32;4889,859211
176,44;1,81E-07;311,4;837,6139607;260,8;692,2240303;236,64;4803,427755
176,66;0,000000126;312,1;854,4230755;261,2;731,9820426;236,96;4712,113183
176,88;8,77E-08;312,8;871,0317771;261,6;772,7970969;237,28;4616,200223
177,1;0,000000061;313,5;887,3476678;262;814,5548978;237,6;4515,997586
177,32;4,23E-08;314,2;903,2990062;262,4;857,1328645;237,92;4411,83496
177,54;2,93E-08;314,9;918,8340892;262,8;900,4005937;238,24;4304,059888
177,76;2,03E-08;315,6;933,9203779;263,2;944,2204098;238,56;4193,034572
177,98;0,000000014;316,3;948,5433909;263,6;988,4479986;238,88;4079,132654
178,2;9,70E-09;317;962,7053897;264;1032,93312;239,2;3962,735998
178,42;6,70E-09;317,7;976,4238816;264,4;1077,520397;239,52;3844,23153
178,64;4,60E-09;318,4;989,7299699;264,8;1122,050165;239,84;3724,008152
178,86;3,10E-09;319,1;1002,66658;265,2;1166,359393;240,16;3602,453772
179,08;2,20E-09;319,8;1015,28659;265,6;1210,28264;240,48;3479,95248
179,3;1,50E-09;320,5;1027,6509;266;1253,653071;240,8;3356,881879
179,52;0,000000001;321,2;1039,826468;266,4;1296,303489;241,12;3233,610614
179,74;7,00E-10;321,9;1051,884339;266,8;1338,067398;241,44;3110,496099
179,96;5,00E-10;322,6;1063,897704;267,2;1378,780077;241,76;2987,88246
180,18;3,00E-10;323,3;1075,940011;267,6;1418,279652;242,08;2866,098704
180,4;2,00E-10;324;1088,083156;268;1456,408154;242,4;2745,457128
180,62;1,00E-10;324,7;1100,395771;268,4;1493,012565;242,72;2626,251948
180,84;1,00E-10;325,4;1112,941649;268,8;1527,945821;243,04;2508,758181
181,06;1,00E-10;326,1;1125,778293;269,2;1561,067783;243,36;2393,230748
181,28;0;326,8;1138,955642;269,6;1592,246147;243,68;2279,903801
181,5;0;327,5;1152,514955;270;1621,357302;244;2168,990277
181,72;0;328,2;1166,487883;270,4;1648,287114;244,32;2060,681655
181,94;0;328,9;1180,895724;270,8;1672,931632;244,64;1955,147909
182,16;0;329,6;1195,748866;271,2;1695,19772;244,96;1852,537641
182,38;0;330,3;1211,046432;271,6;1715,003589;245,28;1752,978392
182,6;0;331;1226,7761;272;1732,279251;245,6;1656,577094
182,82;0;331,7;1242,91411;272,4;1746,966864;245,92;1563,420668
183,04;0;332,4;1259,425456;272,8;1759,020988;246,24;1473,576743
183,26;0;333,1;1276,264226;273,2;1768,408745;246,56;1387,094472
183,48;0;333,8;1293,374114;273,6;1775,109867;246,88;1304,005444
183,7;0;334,5;1310,689058;274;1779,116667;247,2;1224,324671
183,92;0;335,2;1328,134012;274,4;1780,433898;247,52;1148,051626
184,14;0;335,9;1345,625823;274,8;1779,078529;247,84;1075,171328
184,36;0;336,6;1363,074206;275,2;1775,079436;248,16;1005,655458
184,58;0;337,3;1380,382788;275,6;1768,477;248,48;939,4634887
184,8;0;338;1397,450216;276;1759,322643;248,8;876,5438186
185,02;0;338,7;1414,171306;276,4;1747,678281;249,12;816,8349044
185,24;0;339,4;1430,438211;276,8;1733,615719;249,44;760,2663716
185,46;0;340,1;1446,141606;277,2;1717,215993;249,76;706,7601036
185,68;0;340,8;1461,17186;277,6;1698,568655;250,08;656,2312966
185,9;0;341,5;1475,420181;278;1677,771023;250,4;608,5894762
186,12;0;342,2;1488,779742;278,4;1654,927401;250,72;563,7394676
186,34;0;342,9;1501,146737;278,8;1630,148265;251,04;521,5823183
186,56;0;343,6;1512,421399;279,2;1603,549445;251,36;482,0161657
186,78;0;344,3;1522,508933;279,6;1575,25128;251,68;444,9370499
187;0;345;1531,320381;280;1545,377794;252;410,2396687
187,22;0;345,7;1538,773403;280,4;1514,055855;252,32;377,8180734
187,44;0;346,4;1544,79296;280,8;1481,414366;252,64;347,5663055
187,66;0;347,1;1549,311919;281,2;1447,583459;252,96;319,3789746
187,88;0;347,8;1552,271543;281,6;1412,693726;253,28;293,1517782
188,1;0;348,5;1553,6219;282;1376,87547;253,6;268,7819642
188,32;0;349,2;1553,322166;282,4;1340,258001;253,92;246,168739
188,54;0;349,9;1551,340832;282,8;1302,968961;254,24;225,2136222
188,76;0;350,6;1547,655818;283,2;1265,133697;254,56;205,8207512
188,98;0;351,3;1542,254496;283,6;1226,874683;254,88;187,8971373
189,2;0;352;1535,133623;284;1188,310981;255,2;171,3528777
189,42;0;352,7;1526,299194;284,4;1149,557759;255,52;156,1013248
189,64;0;353,4;1515,766217;284,8;1110,725858;255,84;142,0592166
189,86;0;354,1;1503,558415;285,2;1071,92141;256,16;129,1467714
190,08;0;354,8;1489,707864;285,6;1033,245508;256,48;117,2877495
190,3;0;355,5;1474,254573;286;994,7939275;256,8;106,4094854
190,52;0;356,2;1457,246015;286,4;956,6569012;257,12;96,44289283
190,74;0;356,9;1438,736605;286,8;918,9189374;257,44;87,3224465
190,96;0;357,6;1418,787153;287,2;881,6586919;257,76;78,98614216
191,18;0;358,3;1397,464278;287,6;844,9488823;258,08;71,37543874
191,4;0;359;1374,839803;288;808,8562477;258,4;64,43518437
191,62;0;359,7;1350,990133;288,4;773,4415484;258,72;58,11352904
191,84;0;360,4;1325,995622;288,8;738,7596046;259,04;52,36182594
192,06;0;361,1;1299,939942;289,2;704,8593708;259,36;47,13452357
192,28;0;361,8;1272,909447;289,6;671,7840419;259,68;42,38905062
192,5;0;362,5;1244,992549;290;639,5711907;260;38,0856952
192,72;0;363,2;1216,279113;290,4;608,2529295;260,32;34,18748012
192,94;0;363,9;1186,859856;290,8;577,8560973;260,64;30,66003558
193,16;0;364,6;1156,825783;291,2;548,4024662;260,96;27,47147054
193,38;0;365,3;1126,26764;291,6;519,9089648;261,28;24,59224393
193,6;0;366;1095,275398;292;492,3879173;261,6;21,99503657
193,82;0;366,7;1063,93777;292,4;465,8472926;261,92;19,65462491
194,04;0;367,4;1032,341759;292,8;440,2909634;262,24;17,54775693
194,26;0;368,1;1000,572247;293,2;415,7189709;262,56;15,65303126
194,48;0;368,8;968,7116163;293,6;392,1277935;262,88;13,95077965
194,7;0;369,5;936,8394086;294;369,5106173;263,2;12,42295345
194,92;0;370,2;905,0320264;294,4;347,8576056;263,52;11,05301436
195,14;0;370,9;873,3624691;294,8;327,1561664;263,84;9,825829673
195,36;0;371,6;841,900109;295,2;307,3912157;264,16;8,727572184
195,58;0;372,3;810,710504;295,6;288,5454348;264,48;7,745624977
195,8;0;373;779,8552469;296;270,5995207;264,8;6,868491035
196,02;0;373,7;749,3918507;296,4;253,5324285;265,12;6,085707744
196,24;0;374,4;719,3736667;296,8;237,3216039;265,44;5,387766258
196,46;0;375,1;689,849836;297,2;221,9432062;265,76;4,766035644
196,68;0;375,8;660,8652702;297,6;207,3723203;266,08;4,212691716
196,9;0;376,5;632,4606617;298;193,5831569;266,4;3,720650439
197,12;0;377,2;604,6725198;298,4;180,5492413;266,72;3,283505749
197,34;0;377,9;577,5332314;298,8;168,2435905;267,04;2,895471641
197,56;0;378,6;551,0711437;299,2;156,6388772;267,36;2,551328343
197,78;0;379,3;525,3106669;299,6;145,7075823;267,68;2,246372399
198;0;380;500,2723943;300;135,4221351;268;1,976370466
198,22;0;380,7;475,9732384;300,4;125,7550414;268,32;1,737516646
198,44;0;381,4;452,4265801;300,8;116,6789995;268,64;1,526393143
198,66;0;382,1;429,642429;301,2;108,1670057;268,96;1,339934065
198,88;0;382,8;407,6275934;301,6;100,1924472;269,28;1,175392173
199,1;0;383,5;386,3858568;302;92,72918613;269,6;1,030308397
199,32;0;384,2;365,9181609;302,4;85,75163169;269,92;0,90248393
199,54;0;384,9;346,2227914;302,8;79,23480365;270,24;0,789954728
199,76;0;385,6;327,2955664;303,2;73,15438614;270,56;0,690968246
199,98;0;386,3;309,1300251;303,6;67,48677296;270,88;0,603962247
200,2;0;387;291,717616;304;62,2091047;271,2;0,527545527
200,42;0;387,7;275,0478828;304,4;57,29929831;271,52;0,460480416
200,64;0;388,4;259,1086471;304,8;52,7360697;271,84;0,4016669
200,86;0;389,1;243,886187;305,2;48,49894984;272,16;0,350128257
201,08;0;389,8;229,3654109;305,6;44,56829498;272,48;0,304998059
201,3;0;390,5;215,5300246;306;40,92529149;272,8;0,265508434
201,52;0;391,2;202,3626928;306,4;37,55195583;273,12;0,230979492
201,74;0;391,9;189,845193;306,8;34,43113018;273,44;0,200809786
201,96;0;392,6;177,9585621;307,2;31,54647417;273,76;0,174467751
