Wavelengt [nm],s1.3,s2.3,s3.3,s4.3
359.0,5.63806518511147e-23,6.903193773109727e-23,4.869365024805933e-23,6.938397464948167e-23
358.9,5.668762454721876e-23,6.923557176570227e-23,4.850779662115835e-23,7.014226945439404e-23
358.8,5.648297608314938e-23,6.97446568522148e-23,4.887950387496032e-23,7.052141685685023e-23
358.7,5.648297608314938e-23,6.954102281760978e-23,4.887950387496032e-23,7.014226945439404e-23
358.6,5.699459724332283e-23,6.943920580030728e-23,4.9994625636366265e-23,7.014226945439404e-23
358.5,5.771086686756567e-23,6.964283983491229e-23,5.0738040143970226e-23,6.976312205193786e-23
358.4,5.760854263553099e-23,7.015192492142481e-23,4.9994625636366265e-23,7.109013796053451e-23
358.3,5.719924570739221e-23,7.106827807714733e-23,4.9622918382564284e-23,7.279630127158733e-23
358.2,5.709692147535754e-23,7.127191211175234e-23,4.9994625636366265e-23,7.35545960764997e-23
358.1,5.74038941714616e-23,7.096646105984482e-23,5.1667308278475166e-23,7.298587497281543e-23
358.0,5.801783956366974e-23,7.045737597333231e-23,5.222486915917814e-23,7.222758016790306e-23
357.9,5.883643341994727e-23,7.025374193872731e-23,5.371169817438605e-23,7.052141685685023e-23
357.8,5.904108188401665e-23,6.97446568522148e-23,5.333999092058407e-23,6.957354835070977e-23
357.7,5.832481225977382e-23,6.954102281760978e-23,5.1481454651574176e-23,6.976312205193786e-23
357.6,5.812016379570445e-23,6.943920580030728e-23,5.2039015532277153e-23,6.90048272470255e-23
357.5,5.801783956366974e-23,6.984647386951728e-23,5.129560102467319e-23,6.976312205193786e-23
357.4,5.730156993942691e-23,7.045737597333231e-23,5.018047926326725e-23,6.957354835070977e-23
357.3,5.74038941714616e-23,7.127191211175234e-23,5.036633289016824e-23,6.957354835070977e-23
357.2,5.699459724332283e-23,7.127191211175234e-23,4.9808772009465275e-23,6.995269575316596e-23
357.1,5.658530031518408e-23,7.03555589560298e-23,4.887950387496032e-23,7.014226945439404e-23
357.0,5.627832761908001e-23,6.943920580030728e-23,4.943706475566329e-23,7.071099055807833e-23
356.9,5.627832761908001e-23,6.801376755807223e-23,4.869365024805933e-23,7.014226945439404e-23
